Name;Age;Nationality;Overall;Potential;Club;Preferred Foot;Work Rate;Real Face;Position;Finishing;HeadingAccuracy;Dribbling;BallControl;Acceleration;Agility;ShotPower;Stamina;Strength;Aggression;Penalties
Y. Sommer;29;Switzerland;83;84;Borussia Mönchengladbach;Right;Medium/ Medium;Yes;GK;13;10;15;25;48;55;23;45;68;38;24
Javi Martínez;29;Spain;83;83;FC Bayern München;Right;Medium/ Medium;Yes;CDM;43;87;60;74;49;53;76;74;84;90;52
L. Bender;29;Germany;83;83;Bayer 04 Leverkusen;Right;High/ High;Yes;RB;59;78;72;75;66;65;74;86;76;79;52
Lucas Leiva;31;Brazil;83;83;Lazio;Right;Medium/ High;Yes;LDM;62;72;77;78;67;78;77;80;67;80;61
S. Mandanda;33;France;83;83;Olympique de Marseille;Right;Medium/ Medium;Yes;GK;13;13;15;17;53;52;24;31;61;37;11
Cesc Fàbregas;31;Spain;83;83;Chelsea;Right;High/ Medium;Yes;CM;72;74;79;85;56;62;77;56;61;45;78
M. Dembélé;30;Belgium;83;83;Tottenham Hotspur;Left;Medium/ Medium;Yes;CM;66;70;89;89;72;79;81;70;89;79;63
F. Ribéry;35;France;83;83;FC Bayern München;Right;Medium/ Medium;Yes;LM;74;41;84;87;78;84;75;58;60;51;78
R. Jarstein;33;Norway;83;83;Hertha BSC;Right;Medium/ Medium;No;GK;13;16;11;23;40;35;21;31;70;34;13
D. De Rossi;34;Italy;83;83;Roma;Right;Medium/ High;Yes;RDM;50;81;64;77;63;64;81;74;81;84;75
Pepe Reina;35;Spain;83;83;Milan;Right;Medium/ Medium;Yes;GK;14;13;10;23;50;50;24;34;72;32;24
J. Pavlenka;26;Czech Republic;82;85;SV Werder Bremen;Right;Medium/ Medium;No;GK;16;14;12;19;35;39;21;20;68;22;18
M. de Ligt;18;Netherlands;82;91;Ajax;Right;Medium/ Medium;Yes;RCB;53;81;65;73;62;56;79;74;87;79;40
Rodri;22;Spain;82;87;Atlético Madrid;Right;Medium/ High;Yes;CM;64;75;77;82;70;69;70;86;75;63;46
Arthur;21;Brazil;82;90;FC Barcelona;Right;Medium/ Medium;No;LCM;72;58;82;83;68;79;76;78;62;73;69
G. Donnarumma;19;Italy;82;93;Milan;Right;Medium/ Medium;Yes;GK;12;12;28;28;46;64;24;34;72;30;24
Rosberto Dourado;30;Brazil;82;82;Atlético Mineiro;Right;High/ Medium;No;RCM;53;70;77;76;80;72;60;93;68;75;77
Juiano Mestres;34;Brazil;82;82;Cruzeiro;Right;High/ Medium;No;RCB;56;83;60;64;68;61;74;76;79;86;62
Raphaelito Anjos;30;Brazil;82;82;Grêmio;Right;Medium/ Medium;No;GK;8;11;9;21;41;34;21;29;79;34;14
Gelson Martins;23;Portugal;82;87;Atlético Madrid;Right;High/ Medium;No;RM;66;51;85;83;95;94;72;87;48;60;66
Gonçalo Guedes;21;Portugal;82;86;Valencia CF;Right;High/ Low;Yes;LM;75;60;86;81;89;85;81;81;62;67;69
L. Torreira;22;Uruguay;82;87;Arsenal;Right;Medium/ High;No;LCM;50;55;78;81;81;83;78;85;66;85;48
Malcom;21;Brazil;82;89;FC Barcelona;Left;Medium/ Medium;No;RW;75;57;85;85;87;92;85;74;64;53;68
Pau López;23;Spain;82;87;Real Betis;Left;Medium/ Medium;Yes;GK;19;15;18;16;45;40;21;42;52;39;25
L. Hernández;22;France;82;88;Atlético Madrid;Left;Medium/ High;Yes;LB;42;83;65;79;80;70;62;82;76;86;34
C. Lenglet;23;France;82;88;FC Barcelona;Left;Medium/ High;Yes;LCB;23;78;60;76;72;62;58;73;80;80;43
A. Kramarić;27;Croatia;82;83;TSG 1899 Hoffenheim;Right;Medium/ Medium;Yes;LCM;86;69;87;86;78;82;82;76;68;73;88
A. Robertson;24;Scotland;82;87;Liverpool;Left;High/ High;Yes;LB;57;63;76;78;81;78;67;89;66;78;55
Dani García;28;Spain;82;83;Athletic Club de Bilbao;Right;Medium/ High;Yes;RCM;51;46;66;81;53;67;74;88;75;88;58
F. Bernardeschi;24;Italy;82;87;Juventus;Left;High/ High;Yes;RM;70;50;86;87;83;85;82;80;63;52;72
J. Brandt;22;Germany;82;88;Bayer 04 Leverkusen;Right;Medium/ Medium;Yes;LM;78;42;87;85;78;82;80;73;69;42;54
D. Rugani;23;Italy;82;86;Juventus;Right;Low/ Medium;Yes;CB;33;80;64;65;56;59;58;67;79;72;36
Samu Castillejo;23;Spain;82;86;Milan;Left;Medium/ High;Yes;RM;77;43;85;83;85;83;78;55;50;48;59
João Cancelo;24;Portugal;82;88;Juventus;Right;High/ Medium;No;RB;58;64;84;83;91;78;80;89;66;73;46
A. Romagnoli;23;Italy;82;89;Milan;Left;Medium/ High;No;LCB;30;76;65;69;63;60;64;75;81;84;34
T. Partey;25;Ghana;82;88;Atlético Madrid;Right;High/ High;Yes;CDM;63;68;78;81;73;72;79;87;81;76;46
Fred;25;Brazil;82;84;Manchester United;Left;High/ High;No;CM;74;55;79;86;77;84;76;87;61;73;65
J. Vardy;31;England;82;82;Leicester City;Right;High/ High;Yes;ST;85;69;76;76;89;75;85;86;67;92;81
A. Belotti;24;Italy;82;87;Torino;Right;High/ High;Yes;LS;88;84;78;75;78;79;81;83;84;83;77
E. Forsberg;26;Sweden;82;83;RB Leipzig;Right;Medium/ Medium;Yes;LM;70;45;82;87;76;81;73;74;62;62;66
J. Lingard;25;England;82;83;Manchester United;Right;High/ High;Yes;CAM;78;64;83;83;84;86;80;87;53;73;65
F. Vázquez;29;Argentina;82;82;Sevilla FC;Left;Medium/ High;Yes;LCM;74;68;86;87;58;69;76;61;79;78;67
E. Višća;28;Bosnia Herzegovina;82;82;Medipol Başakşehir FK;Right;High/ Medium;No;RM;80;45;82;82;90;93;79;84;58;47;75
A. Rüdiger;25;Germany;82;84;Chelsea;Right;Medium/ High;Yes;CB;27;80;59;69;67;59;70;60;82;88;40
A. Florenzi;27;Italy;82;83;Roma;Right;High/ Medium;Yes;RB;70;72;78;79;86;87;82;90;67;79;76
H. Maguire;25;England;82;85;Leicester City;Right;High/ High;Yes;LCB;43;87;70;76;39;52;68;68;89;84;44
T. Meunier;26;Belgium;82;83;Paris Saint-Germain;Right;High/ High;Yes;RM;76;75;75;82;74;63;77;92;85;73;65
S. Sané;27;Senegal;82;82;FC Schalke 04;Right;Medium/ High;No;CB;38;88;64;70;62;60;77;69;88;84;43
G. Kondogbia;25;Central African Rep.;82;85;Valencia CF;Left;High/ Medium;Yes;CM;69;75;78;82;69;76;86;85;91;86;45
Rafinha;25;Brazil;82;87;FC Barcelona;Left;High/ High;Yes;CAM;73;55;87;84;71;80;79;67;66;44;67
Gabriel Paulista;27;Brazil;82;83;Valencia CF;Right;Low/ High;Yes;LCB;42;81;60;69;71;69;61;72;82;82;51
Morata;25;Spain;82;85;Chelsea;Right;High/ High;Yes;ST;80;86;83;82;76;66;80;68;78;56;70
J. Cillessen;29;Netherlands;82;84;FC Barcelona;Right;Medium/ Medium;No;GK;10;12;12;32;54;48;35;40;67;25;21
W. Ben Yedder;27;France;82;82;Sevilla FC;Right;High/ High;Yes;RS;84;74;84;83;87;91;79;69;60;55;76
C. Bakambu;27;DR Congo;82;83;Beijing Sinobo Guoan FC;Right;Medium/ Medium;Yes;ST;84;71;80;82;88;80;84;79;76;72;69
Pablo Sarabia;26;Spain;82;83;Sevilla FC;Left;High/ Medium;Yes;RCM;78;61;86;84;75;80;76;72;58;46;69
W. Zaha;25;Ivory Coast;82;85;Crystal Palace;Right;High/ Low;Yes;LS;77;47;90;87;89;88;78;76;75;73;66
Luis Alberto;25;Spain;82;85;Lazio;Right;High/ Medium;Yes;CF;80;49;86;88;77;79;77;73;67;29;56
Jonathan Viera;28;Spain;82;82;Beijing Sinobo Guoan FC;Right;High/ Low;Yes;LF;78;41;84;82;86;89;70;79;67;56;74
Bartra;27;Spain;82;83;Real Betis;Right;High/ Medium;Yes;CB;55;82;70;80;75;72;66;67;71;80;52
S. Coates;27;Uruguay;82;83;Sporting CP;Right;Medium/ Medium;Yes;RCB;42;80;64;62;46;32;50;81;94;83;65
Willian José;26;Brazil;82;83;Real Sociedad;Right;Medium/ Low;Yes;ST;84;84;79;80;62;65;84;73;90;65;80
Mário Fernandes;27;Russia;82;82;PFC CSKA Moscow;Right;High/ High;No;RB;56;76;77;79;79;79;71;87;75;77;53
Víctor Ruiz;29;Spain;82;83;Villarreal CF;Left;Medium/ Medium;Yes;LCB;37;77;53;71;55;56;59;72;87;82;46
T. Delaney;26;Denmark;82;83;Borussia Dortmund;Left;High/ High;No;LCM;72;83;73;77;76;73;78;90;79;84;60
K. Casteels;26;Belgium;82;85;VfL Wolfsburg;Left;Medium/ Medium;No;GK;15;14;14;23;44;50;21;44;72;33;20
M. Götze;26;Germany;82;85;Borussia Dortmund;Right;Medium/ Medium;Yes;CM;75;51;84;90;74;86;68;73;68;58;77
S. Mustafi;26;Germany;82;84;Arsenal;Right;Medium/ High;Yes;RCB;58;81;53;70;58;63;66;68;78;82;54
J. Pastore;29;Argentina;82;82;Roma;Right;High/ Medium;Yes;CAM;73;61;87;86;69;79;78;62;64;65;75
Pedro;30;Spain;82;82;Chelsea;Right;High/ High;Yes;RW;78;55;84;85;79;82;77;70;47;56;66
G. Bonaventura;28;Italy;82;82;Milan;Right;High/ Medium;No;CM;70;70;83;85;75;77;84;84;66;68;68
R. Bürki;27;Switzerland;82;85;Borussia Dortmund;Right;Medium/ Medium;No;GK;8;17;12;23;44;49;22;36;74;35;20
Taison;30;Brazil;82;82;Shakhtar Donetsk;Right;Medium/ Medium;No;LM;76;56;87;85;93;90;83;79;62;56;72
S. Nzonzi;29;France;82;82;Roma;Right;Medium/ Medium;Yes;CDM;64;79;72;81;44;36;79;86;92;87;57
Marlos;30;Ukraine;82;82;Shakhtar Donetsk;Left;Medium/ Medium;No;RM;79;53;87;88;85;92;77;78;62;58;80
A. Ramsey;27;Wales;82;83;Arsenal;Right;High/ High;Yes;CAM;74;58;81;82;64;73;81;89;67;73;75
K. Trippier;27;England;82;82;Tottenham Hotspur;Right;High/ High;Yes;RB;48;73;75;80;76;74;75;88;65;70;66
A. Kolarov;32;Serbia;82;82;Roma;Left;High/ Medium;Yes;LB;55;80;79;76;73;63;91;84;77;85;74
G. Sigurðsson;28;Iceland;82;82;Everton;Right;High/ High;Yes;CAM;77;60;80;85;58;68;83;86;68;57;79
S. Giovinco;31;Italy;82;82;Toronto FC;Right;High/ Medium;Yes;CF;80;34;86;86;88;94;80;77;42;75;73
M. Arnautović;29;Austria;82;82;West Ham United;Right;High/ Medium;Yes;LS;78;74;84;85;79;70;84;78;84;84;77
N. Gaitán;30;Argentina;82;82;Dalian YiFang FC;Left;Medium/ Medium;Yes;CAM;71;54;84;83;84;87;72;69;46;57;71
J. Henderson;28;England;82;82;Liverpool;Right;Medium/ High;Yes;RCM;67;65;73;80;67;70;77;91;72;77;64
M. Kruse;30;Germany;82;82;SV Werder Bremen;Left;High/ Medium;Yes;ST;83;63;82;85;69;74;81;71;72;63;90
M. Parolo;33;Italy;82;82;Lazio;Right;High/ High;No;RDM;70;75;75;79;68;67;87;88;77;80;45
L. Fejsa;29;Serbia;82;82;SL Benfica;Right;Low/ High;No;CDM;49;73;68;72;52;57;73;90;78;91;56
A. Rami;32;France;82;82;Olympique de Marseille;Right;High/ High;Yes;RCB;45;77;56;68;52;54;77;84;91;83;48
V. Ćorluka;32;Croatia;82;82;Lokomotiv Moscow;Right;High/ Medium;No;LCB;44;83;65;73;49;57;64;80;86;81;49
G. Wijnaldum;27;Netherlands;82;82;Liverpool;Right;High/ High;Yes;CAM;70;72;84;84;77;80;76;85;72;64;74
F. Fazio;31;Argentina;82;82;Roma;Right;Medium/ Medium;Yes;LCB;41;89;48;72;36;29;63;74;91;84;26
O. Giroud;31;France;82;82;Chelsea;Left;Medium/ Medium;Yes;ST;83;90;70;83;43;57;85;62;88;76;83
Marcano;31;Spain;82;82;Roma;Left;Medium/ Medium;No;CB;43;83;54;67;67;58;65;78;77;82;45
A. Guardado;31;Mexico;82;82;Real Betis;Left;Medium/ Medium;Yes;CM;60;55;80;84;74;81;74;84;57;72;70
E. Garay;31;Argentina;82;82;Valencia CF;Right;Medium/ Medium;Yes;RCB;58;80;60;73;34;54;80;62;88;77;69
Jardel;32;Brazil;82;82;SL Benfica;Right;Medium/ High;No;LCB;38;85;52;60;50;35;58;68;89;83;57
S. Sirigu;31;Italy;82;82;Torino;Right;Medium/ Medium;Yes;GK;10;11;15;18;50;52;20;34;66;34;19
E. Viviano;32;Italy;82;82;Sporting CP;Left;Medium/ Medium;No;GK;17;13;18;22;30;35;21;29;58;18;21
L. Koscielny;32;France;82;82;Arsenal;Right;Medium/ High;Yes;CB;32;80;62;66;64;65;54;62;75;86;51
A. Consigli;31;Italy;82;82;Sassuolo;Right;Medium/ Medium;No;GK;10;10;10;23;48;57;24;31;51;11;21
L. Biglia;32;Argentina;82;82;Milan;Right;Medium/ High;No;CDM;50;54;80;84;65;76;77;75;65;83;72
Dani Alves;35;Brazil;82;82;Paris Saint-Germain;Right;High/ Low;Yes;RB;61;72;84;86;77;84;86;74;55;78;70
David Villa;36;Spain;82;82;New York City FC;Right;High/ Low;Yes;ST;86;67;83;85;72;71;81;70;66;67;88
Aduriz;37;Spain;82;82;Athletic Club de Bilbao;Right;High/ Medium;Yes;ST;83;92;76;82;64;50;82;60;82;82;82
P. Čech;36;Czech Republic;82;82;Arsenal;Left;Medium/ Medium;Yes;GK;12;19;12;22;35;46;21;32;63;17;23
Casillas;37;Spain;82;82;FC Porto;Left;Medium/ Medium;Yes;GK;12;25;25;23;59;62;28;43;70;23;24
M. Rashford;20;England;81;89;Manchester United;Right;High/ Medium;Yes;LW;78;71;83;80;90;88;87;79;71;70;74
Laure Santeiro;30;Brazil;81;81;Fluminense;Left;Medium/ Medium;No;CAM;72;44;82;82;86;89;67;67;48;41;74
L. Bailey;20;Jamaica;81;89;Bayer 04 Leverkusen;Left;High/ Medium;No;LM;75;57;86;82;94;86;79;76;59;58;71
M. Akanji;22;Switzerland;81;87;Borussia Dortmund;Right;Medium/ High;No;LCB;36;75;67;75;72;69;58;76;84;75;40
F. de Jong;21;Netherlands;81;89;Ajax;Right;Medium/ Medium;No;LDM;52;64;86;88;74;84;68;74;69;62;45
Nélson Semedo;24;Portugal;81;86;FC Barcelona;Right;Medium/ High;No;RB;50;58;80;78;91;88;74;91;62;77;38
Pablo Fornals;22;Spain;81;86;Villarreal CF;Right;High/ High;Yes;CAM;77;50;81;81;71;79;75;77;67;69;46
Fabián;22;Spain;81;89;Napoli;Left;Medium/ Medium;No;LM;79;67;81;83;69;73;75;73;69;66;67
E. Bailly;24;Ivory Coast;81;87;Manchester United;Right;Medium/ High;Yes;CB;33;79;60;65;68;65;55;72;85;87;46
Dani Ceballos;21;Spain;81;88;Real Madrid;Right;Medium/ Medium;Yes;LCM;68;41;85;85;73;82;64;75;62;76;55
H. Lozano;22;Mexico;81;86;PSV;Right;High/ Medium;Yes;LS;77;60;84;80;94;91;76;80;59;64;64
Morales;30;Spain;81;81;Levante UD;Right;High/ Medium;Yes;LS;80;54;87;83;88;78;76;82;60;58;76
J. Seri;26;Ivory Coast;81;82;Fulham;Right;Medium/ Medium;Yes;LDM;69;60;78;84;75;82;78;75;63;73;67
M. Politano;24;Italy;81;84;Inter;Left;High/ Medium;No;RM;74;40;84;83;85;90;78;79;45;63;70
M. Brozović;25;Croatia;81;84;Inter;Right;Medium/ Medium;Yes;LDM;69;62;81;83;69;74;80;84;66;79;69
Williams;24;Spain;81;87;Athletic Club de Bilbao;Right;High/ High;Yes;LW;77;70;82;81;92;80;85;75;85;66;64
A. Correa;23;Argentina;81;87;Atlético Madrid;Right;Medium/ Low;Yes;RM;82;67;87;87;87;87;80;74;63;41;55
A. Christensen;22;Denmark;81;88;Chelsea;Right;Low/ Medium;Yes;LCB;36;80;68;74;66;61;31;69;73;73;36
João Mário;25;Portugal;81;84;Inter;Right;Medium/ Medium;Yes;CAM;64;55;83;83;73;81;76;79;68;60;66
T. Strakosha;23;Albania;81;86;Lazio;Right;Medium/ Medium;No;GK;18;11;14;15;41;31;18;23;56;20;21
E. Hysaj;24;Albania;81;86;Napoli;Right;Medium/ Medium;No;RB;47;66;75;77;79;76;68;87;69;79;40
P. Zieliński;24;Poland;81;88;Napoli;Right;Medium/ Medium;No;RCM;65;52;84;85;82;79;76;72;54;56;51
Ricardo Pereira;24;Portugal;81;85;Leicester City;Right;High/ High;No;RB;61;64;83;79;88;82;67;84;60;75;60
Grimaldo;22;Spain;81;87;SL Benfica;Left;High/ Medium;No;LB;50;65;83;82;85;85;78;83;63;68;51
R. Guerreiro;24;Portugal;81;86;Borussia Dortmund;Left;Medium/ Medium;No;LM;75;52;83;84;82;88;79;72;49;69;44
A. Doucouré;25;France;81;85;Watford;Right;High/ Medium;Yes;RDM;73;66;78;80;63;60;84;93;81;78;54
J. Martínez;25;Venezuela;81;84;Atlanta United;Right;High/ Medium;Yes;LS;84;77;75;78;89;91;79;72;73;66;70
C. Bacca;31;Colombia;81;81;Villarreal CF;Right;Medium/ Low;Yes;LS;84;75;80;80;73;73;80;66;74;58;80
A. Plea;25;France;81;83;Borussia Mönchengladbach;Right;High/ Medium;No;LW;82;73;78;79;78;79;83;82;77;63;65
B. Davies;25;Wales;81;84;Tottenham Hotspur;Left;High/ High;Yes;LB;58;69;76;79;76;70;65;85;69;76;54
M. Nastasić;25;Serbia;81;84;FC Schalke 04;Left;Low/ High;Yes;LCB;30;78;43;65;65;65;44;62;78;78;52
A. Milik;24;Poland;81;88;Napoli;Left;Medium/ Medium;Yes;CF;88;78;74;78;69;68;85;73;78;67;79
M. Sabitzer;24;Austria;81;84;RB Leipzig;Right;High/ High;Yes;LM;79;56;79;81;83;75;86;84;76;70;65
B. Mendy;23;France;81;86;Manchester City;Left;High/ Low;Yes;LB;33;65;80;79;77;68;79;81;81;75;50
C. Kramer;27;Germany;81;82;Borussia Mönchengladbach;Right;High/ High;Yes;CDM;45;58;71;81;52;66;53;93;69;78;47
S. Vrsaljko;26;Croatia;81;84;Inter;Right;High/ Medium;No;RB;44;73;74;79;82;67;75;90;73;75;52
T. Hazard;25;Belgium;81;83;Borussia Mönchengladbach;Right;Medium/ Medium;Yes;RW;69;38;85;83;86;91;78;77;62;57;83
K. Bellarabi;28;Germany;81;81;Bayer 04 Leverkusen;Right;High/ High;No;RM;72;48;87;83;90;86;85;73;68;59;57
S. Zaza;27;Italy;81;82;Torino;Left;High/ High;Yes;RS;80;79;77;79;79;76;85;76;88;87;79
F. Ghoulam;27;Algeria;81;82;Napoli;Left;High/ Medium;No;LB;54;70;79;80;71;72;80;88;68;74;76
B. Lecomte;27;France;81;84;Montpellier HSC;Left;Medium/ Medium;No;GK;11;10;11;23;44;36;18;34;55;23;20
J. Iličić;30;Slovenia;81;81;Atalanta;Left;Medium/ Medium;No;CAM;78;58;83;87;67;70;87;64;74;58;78
K. Volland;25;Germany;81;83;Bayer 04 Leverkusen;Left;High/ High;No;ST;81;67;79;81;78;73;85;88;82;78;72
Paco Alcácer;24;Spain;81;85;Borussia Dortmund;Right;High/ Medium;Yes;ST;85;77;78;81;82;83;80;65;64;59;71
Vitolo;28;Spain;81;81;Atlético Madrid;Right;High/ High;Yes;LM;77;65;84;83;78;74;77;80;81;61;74
G. Xhaka;25;Switzerland;81;84;Arsenal;Left;Medium/ Medium;Yes;LDM;49;62;70;80;47;49;88;80;75;92;63
D. Tadić;29;Serbia;81;81;Ajax;Left;Medium/ Low;Yes;LAM;74;63;85;86;69;82;69;69;62;56;71
C. Aránguiz;29;Chile;81;81;Bayer 04 Leverkusen;Right;Medium/ Medium;No;LDM;64;53;75;82;76;80;80;87;63;80;76
S. Verdi;25;Italy;81;81;Napoli;Left;High/ Medium;No;RW;67;42;84;86;88;92;81;75;48;48;68
D. Lovren;28;Croatia;81;82;Liverpool;Right;Medium/ High;Yes;RCB;33;80;63;67;54;50;63;68;82;87;52
G. Medel;30;Chile;81;81;Beşiktaş JK;Right;Medium/ High;No;RCB;31;68;63;71;72;78;65;84;83;89;58
X. Shaqiri;26;Switzerland;81;81;Liverpool;Left;Medium/ Medium;Yes;CAM;71;45;86;84;84;84;87;75;73;61;65
J. Corona;25;Mexico;81;83;FC Porto;Right;Medium/ Low;Yes;RM;76;67;91;84;87;90;66;74;39;45;68
A. Areola;25;France;81;85;Paris Saint-Germain;Right;Medium/ Medium;Yes;GK;19;14;12;22;54;53;25;28;80;26;25
K. Vogt;26;Germany;81;82;TSG 1899 Hoffenheim;Right;High/ Medium;No;CB;50;79;67;71;66;59;78;74;85;81;53
Ander Herrera;28;Spain;81;81;Manchester United;Right;High/ High;Yes;CM;71;58;77;82;75;79;75;87;67;86;79
E. Salvio;27;Argentina;81;81;SL Benfica;Right;High/ Medium;No;RW;77;73;85;84;89;83;80;85;63;69;75
S. El Shaarawy;25;Italy;81;82;Roma;Right;High/ Medium;Yes;LM;78;51;84;86;86;85;74;68;54;54;67
C. Smalling;28;England;81;82;Manchester United;Right;Medium/ High;Yes;RCB;54;82;59;58;61;55;42;71;87;83;52
Hulk;31;Brazil;81;81;Shanghai SIPG FC;Left;High/ Medium;Yes;RCM;81;69;82;79;81;69;94;86;92;83;78
S. Kagawa;29;Japan;81;81;Borussia Dortmund;Right;High/ Medium;Yes;CAM;76;48;86;83;74;87;54;82;39;30;80
M. Lanzini;25;Argentina;81;85;West Ham United;Right;Medium/ Medium;Yes;CAM;70;56;87;86;84;86;75;73;39;48;73
F. Smolov;28;Russia;81;81;Lokomotiv Moscow;Right;High/ Medium;No;ST;84;70;77;78;88;75;80;74;75;67;74
L. Stindl;29;Germany;81;81;Borussia Mönchengladbach;Right;Medium/ Medium;No;CF;79;64;78;83;74;70;81;78;69;74;80
O. Toprak;28;Turkey;81;82;Borussia Dortmund;Right;Medium/ Medium;No;CB;28;80;63;71;71;64;62;67;78;70;43
D. Perotti;29;Argentina;81;81;Roma;Right;Medium/ Medium;No;LW;66;57;88;88;86;83;73;73;60;51;90
F. Muslera;32;Uruguay;81;81;Galatasaray SK;Right;Medium/ Medium;No;GK;10;12;25;23;60;68;25;45;68;32;24
B. Höwedes;30;Germany;81;81;Lokomotiv Moscow;Right;Medium/ Medium;Yes;RCB;51;83;59;65;52;60;57;61;78;78;56
S. Kjær;29;Denmark;81;81;Sevilla FC;Right;Low/ High;Yes;RCB;55;82;46;71;56;40;78;76;80;75;61
S. Bender;29;Germany;81;81;Bayer 04 Leverkusen;Right;Medium/ High;Yes;LCB;39;75;58;60;65;63;73;83;77;82;34
M. Valbuena;33;France;81;81;Fenerbahçe SK;Right;High/ Medium;Yes;LM;74;48;83;82;81;86;75;73;37;52;68
Pedro León;31;Spain;81;81;SD Eibar;Right;Medium/ Low;Yes;RM;76;36;84;85;63;68;84;65;63;55;71
K. Boateng;31;Ghana;81;81;Sassuolo;Right;High/ Medium;Yes;CM;78;74;79;84;67;77;84;68;78;83;67
L. Piszczek;33;Poland;81;81;Borussia Dortmund;Right;Medium/ Medium;Yes;RB;65;74;72;76;74;66;78;77;78;83;65
A. Candreva;31;Italy;81;81;Inter;Right;Medium/ Medium;No;RM;73;55;82;83;77;74;87;86;69;66;83
D. Wass;29;Denmark;81;81;Valencia CF;Right;High/ Medium;Yes;RB;74;67;80;81;74;79;86;90;70;62;64
E. Lamela;26;Argentina;81;82;Tottenham Hotspur;Left;High/ High;Yes;RM;74;69;86;84;76;75;81;78;68;84;75
D. Rose;27;England;81;81;Tottenham Hotspur;Left;Medium/ High;Yes;LB;57;62;80;77;79;69;68;78;72;87;57
C. Vela;29;Mexico;81;81;Los Angeles FC;Left;High/ Low;Yes;RW;81;70;83;83;78;81;74;74;67;57;72
Renato Augusto;30;Brazil;81;81;Beijing Sinobo Guoan FC;Right;Medium/ Medium;No;LCM;65;57;82;81;66;66;81;81;76;58;68
A. Valencia;32;Ecuador;81;81;Manchester United;Right;High/ High;Yes;RM;60;62;80;81;82;72;85;79;79;80;55
L. Fabiański;33;Poland;81;81;West Ham United;Right;Medium/ Medium;Yes;GK;13;11;14;22;50;52;14;25;65;43;22
João Moutinho;31;Portugal;81;81;Wolverhampton Wanderers;Right;High/ Medium;Yes;RCM;74;70;79;82;66;76;76;78;63;74;70
Borja Valero;33;Spain;81;81;Inter;Right;Medium/ Medium;No;CAM;67;60;85;88;55;74;72;69;66;52;72
F. Quagliarella;35;Italy;81;81;Sampdoria;Right;Medium/ Medium;Yes;RS;84;68;76;81;73;71;87;66;76;44;84
B. Gomis;32;France;81;81;Al Hilal;Right;High/ Low;Yes;ST;84;82;78;79;69;59;84;68;83;52;83
Manuel Fernandes;32;Portugal;81;81;Lokomotiv Moscow;Right;High/ Medium;No;LM;70;59;86;83;83;82;81;76;71;68;73
H. Herrera;28;Mexico;81;81;FC Porto;Right;High/ High;No;CM;68;59;76;78;71;66;81;94;73;83;64
Raffael;33;Brazil;81;81;Borussia Mönchengladbach;Right;High/ Medium;Yes;CF;78;63;87;85;74;83;77;62;62;66;72
Nani;31;Portugal;81;81;Sporting CP;Right;High/ Medium;Yes;LM;70;61;87;86;77;92;85;74;62;61;72
J. Milner;32;England;81;81;Liverpool;Right;High/ High;Yes;CM;62;66;76;79;63;69;82;91;71;82;83
J. Mathieu;34;France;81;81;Sporting CP;Left;High/ Medium;Yes;LCB;52;80;65;62;68;52;80;78;89;72;72
Joaquín;36;Spain;81;81;Real Betis;Right;High/ Medium;Yes;LS;80;59;85;83;69;72;74;54;64;53;75
M. Gómez;21;Uruguay;80;85;RC Celta;Right;Low/ Medium;Yes;ST;85;81;76;77;61;45;79;71;80;65;67
K. Havertz;19;Germany;80;89;Bayer 04 Leverkusen;Left;Medium/ Medium;No;CAM;72;65;81;83;77;78;66;73;61;40;49
T. Ndombele;21;France;80;89;Olympique Lyonnais;Right;High/ High;No;CM;59;56;86;84;84;83;80;78;78;81;60
H. Aouar;20;France;80;90;Olympique Lyonnais;Right;High/ Medium;No;LM;72;54;84;82;79;81;61;79;61;69;63
Carlos Soler;21;Spain;80;87;Valencia CF;Right;Medium/ Medium;Yes;RM;74;56;79;82;75;75;77;78;65;49;73
Odriozola;22;Spain;80;88;Real Madrid;Right;High/ Medium;Yes;RB;45;73;69;77;80;78;58;80;63;63;62
M. Almirón;24;Paraguay;80;84;Atlanta United;Left;High/ High;Yes;CAM;74;43;81;79;90;86;78;85;52;65;64
Welington Dano;30;Brazil;80;80;Cruzeiro;Left;Medium/ Medium;No;LB;51;69;77;78;78;83;55;89;68;69;61
Everton Andrão;34;Brazil;80;80;Fluminense;Right;High/ High;No;CDM;58;59;75;77;69;78;72;89;71;81;61
Oyarzabal;21;Spain;80;87;Real Sociedad;Left;High/ Medium;Yes;CAM;78;44;84;85;72;70;73;71;59;40;52
F. Balbuena;26;Paraguay;80;83;West Ham United;Right;Medium/ Medium;No;RCB;31;82;47;56;56;42;71;76;84;82;48
M. Marega;27;Mali;80;80;FC Porto;Right;High/ Medium;No;RS;80;81;62;65;87;67;86;91;90;88;71
B. Pavard;22;France;80;86;VfB Stuttgart;Right;Medium/ Medium;No;RB;37;73;66;77;69;68;60;77;74;72;51
W. Ndidi;21;Nigeria;80;85;Leicester City;Right;Medium/ High;Yes;LDM;50;76;74;75;73;67;82;92;75;85;55
A. Onana;22;Cameroon;80;85;Ajax;Right;Medium/ Medium;No;GK;12;20;26;38;64;68;21;39;67;29;27
G. Lo Celso;22;Argentina;80;86;Real Betis;Left;High/ Medium;Yes;RCM;73;59;81;82;72;81;79;80;67;65;60
M. Acuña;26;Argentina;80;80;Sporting CP;Left;Medium/ High;No;LB;65;63;85;82;79;84;83;90;84;88;74
